Sample,Site,Region,Instrument,Component,Ware,Incision,Glaze_or_slip_color,Provenance,LIA Group,Count,Na2O,MgO,Al2O3,SiO2,P2O5,K2O,CaO,TiO2,Cr2O3,MnO,FeO,CoO,CuO,MoO3,SnO2,Sb2O3,PbO,Total
K169,Merki,Chu Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Underglaze,,Transparent,KAZ12,Tianshan group,5,0.19334898,0.56732151,2.944504056,38.59106453,0.071624826,0.412058142,1.450138471,0.042700192,0.004004235,0.00969472,0.370925203,,0.012850072,,0.003363802,0,55.32640126,100
K175,Taraz,Talas Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Underglaze,,Transparent,KAZ3,Tianshan group,5,0.136687376,0.12964526,2.781208856,36.52370392,0.021441951,0.346321237,0.399859503,0.035848754,0.011962069,0.002689395,0.17629435,,0.055611742,,0.00017963,0.019307225,59.35923873,100
K175,Taraz,Talas Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Underglaze,,Olive,KAZ3,Tianshan group,5,0.153992914,0.259693902,2.679043498,35.51521886,0.029403753,0.423456197,0.62328082,0.030857663,0.23087069,0.007868733,0.394482548,,0.02663777,,0.006876071,0.001936873,59.61637971,100
K175,Taraz,Talas Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Underglaze,,Yellow,KAZ3,Tianshan group,5,0.110732625,0.118900604,2.55262311,34.97394696,0.037320887,0.336566129,0.453085843,0.032110448,0.017726266,0.007382234,0.149843735,,0.082158887,,0.013203515,0.013352878,61.10104588,100
K176,Taraz,Talas Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Underglaze,,Brown,KAZ3,,4,0.31446541,0.7685718,4.673467053,39.81408379,0.097546157,0.771809704,1.406600737,0.174410853,0.152664027,0,0.825251837,,0.028671827,,0.003401691,0,50.96905511,100
K181,Taraz,Talas Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Underglaze,,Brown,KAZ10,,3,0.119782143,0.245430591,3.424302572,35.21853883,0.067726637,0.554205785,0.449122671,0.047701014,0.026073773,1.700186633,3.198830412,,0.066069329,,0.001628338,0.005212813,54.87518846,100
K181,Taraz,Talas Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Underglaze,,Olive,KAZ10,,5,0.099992645,0.278064972,2.554406018,35.95011718,0.02701722,0.367829681,0.382361567,0.031340114,0.351564836,0.002996495,0.447445446,,0.040117078,,0.000536956,0.003984324,59.46222546,99.99999999
K181,Taraz,Talas Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Underglaze,,Yellow,KAZ10,,3,0.101171236,0.213833925,2.628701804,36.236088,0.027419576,0.364458916,0.467232186,0.047888194,0.142347805,0.007060649,0.246248265,,0.047171719,,0.004365909,0.002291955,59.46371986,100
K183,Taraz,Talas Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Underglaze,,Yellow,KAZ11,Cluster,10,0.34457437,0.217081712,2.726969125,36.59087853,0.028006911,0.792518853,0.651995179,0.044339033,0.07044248,0.034820365,0.757558014,,0.013075005,,0.012085438,0.007656091,57.70799889,100
K183,Taraz,Talas Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Underglaze,,Black,KAZ11,Cluster,5,0.36038978,0.227531388,2.704629033,35.78797451,0.035528817,0.72982043,0.66459648,0.037607533,0.174698865,0.003610099,0.417427835,,0.014540642,,0.009480067,0.011392673,58.82077185,100
K193,Akyrtas,Talas Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Monochrome,,Green,KAZ2,,5,0.240709289,0.313377847,5.702479103,28.09550462,0.119303873,0.380486192,0.378481354,0.127698141,0.01340141,0.004563165,0.488499522,,0.787653639,,0.060188363,0.005429378,63.2822241,100
K198,Aktobe,Chu Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Monochrome,,Transparent,KAZ14,Cluster,5,0.255527491,0.618185081,2.97044097,36.24622225,0.113641394,0.496845434,2.399097023,0.117421701,0.0122097,0.014903479,0.373524885,,0.083051286,,0.00099241,,56.29793689,99.99999999
K199,Aktobe,Chu Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Underglaze,,Brown,KAZ14,Cluster,5,0.324765271,0.60740305,4.785570429,32.55243394,0.072981189,0.605078817,1.267991371,0.215697936,0.016339166,0.557770351,3.515330551,,0.052678446,,0.003200101,0.147275342,55.27548404,100
K199,Aktobe,Chu Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Underglaze,,Transparent,KAZ14,Cluster,5,0.291099245,0.393354933,4.138279849,37.64533163,0.052078491,0.50898932,0.801907521,0.121703849,0.009728076,0.012728016,0.460810569,,0.034934709,,0.010682069,0.159472525,55.3588992,100
K200,Aktobe,Chu Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Monochrome,,Transparent,KAZ2,Tianshan group,5,0.266170745,0.19105181,3.514918138,33.5188937,0.053715436,0.66267657,0.505605504,0.132980309,0.007456071,0.004407359,0.226039213,,0.116847339,,0.009491154,0.004358961,60.78538769,100
K201,Aktobe,Chu Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Underglaze,,Green,KAZ2,,5,0.175420168,0.24289862,3.517624251,34.75901785,0.056296749,0.473331067,0.826377196,0.143101353,0.008450972,0.01980109,0.269294793,,0.086332825,,0.002314402,0,59.41973867,100
K203,Aktobe,Chu Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Underglaze,,Transparent,KAZ2,,5,0.29707867,0.328414273,3.565699631,38.14895829,0.095115069,0.892105822,0.710173472,0.198092144,0.008676138,0.003644296,0.425329644,,0.10529911,,0.059687259,0.001281764,55.16044442,100
K203,Aktobe,Chu Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Underglaze,,Brown,KAZ2,,5,0.328749438,0.35282578,3.421357493,37.46651606,0.095128448,0.982722333,0.745074716,0.201382189,0.016196726,0.020325509,0.41839733,,0.098003244,,0.054310653,0.001622995,55.79738709,100
