"Sample","Site","Region","Glaze_or_slip_color","Ware","Provenance","Al2O3","As2O3","BaO","CaO","Cl","CoO","Cr2O3","CuO","FeO","K2O","MgO","MnO","MoO3","Na2O","NiO2","P2O5","PbO","Sb2O3","SiO2","SnO2","SO3","TiO2","ZnO","Count"
"K129","Lower Barskhan","Talas Valley","","Underglaze","TAZ - Group 3",14.8,NA,NA,0.605,NA,NA,0.0204,0.0128,0.504,5.51,0.953,0.0099,NA,0.841,NA,0.111,9.04,0.0421,67.1,0.00822,NA,0.427,NA,4
"K134","Kulan","Chu Valley","","Underglaze","KAZ11",23.9,NA,NA,1.26,NA,NA,0.0114,0.0193,0.137,2.38,0.504,0.00431,NA,0.59,NA,0.0975,16.4,0.00703,54.5,0.00524,NA,0.113,NA,10
"K142","Tamdy","Tianshan Piedmont","","Underglaze","KAZ10",19.8,NA,NA,0.456,NA,NA,0.00999,0.0221,1.29,5.35,0.689,0.00924,NA,1.7,NA,0.0238,8.44,0.0373,61.8,0.0133,NA,0.278,NA,5
"K146","Tamdy","Tianshan Piedmont","","Monochrome","KAZ10",17.7,NA,NA,0.74,NA,NA,0.0084,0.398,0.416,5.54,0.507,0.00586,NA,1.61,NA,0.073,5.9,0.0329,66.7,0.011,NA,0.306,NA,3
"K149","Bektobe","Talas Valley","","Underglaze","TAZ - Group 3",20.4,NA,NA,0.416,NA,NA,0.014,0.0247,0.389,2.67,0.358,0.0271,NA,0.494,NA,0.0159,34.2,0.000686,40.9,0.00126,NA,0.103,NA,4
"K151","Bektobe","Talas Valley","","Underglaze","KAZ12",11.6,NA,NA,0.393,NA,NA,0.00709,0.0216,0.385,2.16,0.39,0.00903,NA,0.792,NA,0.0264,13.3,0.0162,70.5,0.0113,NA,0.302,NA,6
"K156","Bektobe","Talas Valley","","Underglaze","KAZ12",11.4,NA,NA,1.78,NA,NA,0.00633,0.107,0.272,2.03,0.381,0.00692,NA,0.684,NA,0.119,10.6,0.00338,72.2,0.00285,NA,0.349,NA,7
"K175","Taraz","Talas Valley","","Underglaze","TAZ - Group 3",20.8,NA,NA,0.324,NA,NA,0.0098,0.00352,0.513,4.18,0.633,0.0143,NA,0.872,NA,0.0362,18.2,0.018,54.3,0.00537,NA,0.131,NA,5
"K176","Taraz","Talas Valley","","Underglaze","TAZ - Group 3",14.7,NA,NA,4.36,NA,NA,0.0219,0.00742,0.313,3.14,0.32,0.00555,NA,1.2,NA,0.881,11.1,0.00287,63.9,0.00347,NA,0.0702,NA,5
"K181","Taraz","Talas Valley","","Underglaze","KAZ10",21.8,NA,NA,0.51,NA,NA,0.008,0.028,0.586,4.03,1.22,0.0113,NA,0.993,NA,0.0277,14.5,0.0169,56.2,0.00144,NA,0.15,NA,5
